BudgetID,Financial_Year,PeriodKey,SegmentID,StandardItemID,FundID,CostCentreID,ProjectID,DetailedItemID,VoteID,Budget_Amount,Adjusted_Amount,Forecast_Amount,Budget_Version,Approval_Date
97,2025,202409,5,7,4,1,,8,2,29209,36444,16205,1,7/1/2024
98,2025,202407,2,3,1,38,,3,4,36541,29786,25330,1,7/1/2024
99,2025,202409,1,6,4,37,,8,3,22829,33180,13382,1,7/1/2024
100,2025,202407,3,2,4,26,,6,4,26346,10493,29795,1,7/1/2024
101,2025,202408,2,5,3,17,,6,3,19077,14865,28973,1,7/1/2024
102,2025,202409,1,5,1,40,,5,1,35335,27723,29429,1,7/1/2024
103,2025,202408,3,8,2,17,,1,1,30618,45717,39192,1,7/1/2024
104,2025,202407,3,8,1,23,,5,3,40875,34766,49330,1,7/1/2024
105,2025,202407,5,5,2,10,,5,5,48279,42360,42269,1,7/1/2024
106,2025,202407,3,1,2,8,,7,5,14697,25805,22757,1,7/1/2024
107,2025,202407,2,5,4,20,,4,5,27095,28922,29021,1,7/1/2024
108,2025,202408,4,3,2,26,,5,1,36377,22053,30663,1,7/1/2024
109,2025,202407,3,2,1,25,,1,5,27110,47978,23107,1,7/1/2024
110,2025,202409,3,2,3,36,,8,3,21875,33338,12530,1,7/1/2024
111,2025,202408,1,5,2,6,,6,4,10821,48065,22271,1,7/1/2024
112,2025,202409,5,3,2,20,,4,4,19709,18864,26323,1,7/1/2024
113,2025,202408,3,6,3,35,,4,2,36235,47072,47500,1,7/1/2024
114,2025,202409,1,5,3,17,,1,1,37073,37700,13901,1,7/1/2024
115,2025,202408,2,5,3,1,,2,4,21745,45109,36524,1,7/1/2024
116,2025,202409,5,1,3,28,,4,5,37726,14204,18288,1,7/1/2024
117,2025,202407,2,6,4,3,,7,4,46342,35775,21224,1,7/1/2024
118,2025,202407,5,3,3,20,,6,3,22978,39042,44284,1,7/1/2024
119,2025,202407,1,5,4,4,,5,1,20721,23678,16580,1,7/1/2024
120,2025,202407,2,5,3,26,,8,1,45723,28183,33458,1,7/1/2024
121,2025,202408,5,6,1,25,,6,5,13967,37359,46262,1,7/1/2024
122,2025,202408,2,6,1,17,,6,4,22795,13886,34627,1,7/1/2024
123,2025,202408,2,1,2,11,,2,3,47001,44814,34773,1,7/1/2024
124,2025,202409,1,1,2,33,,8,2,49212,39422,46272,1,7/1/2024
125,2025,202407,2,5,3,6,,1,3,41446,21437,21590,1,7/1/2024
126,2025,202407,3,6,4,8,,6,2,11984,29270,14513,1,7/1/2024
127,2025,202409,1,3,3,23,,6,3,28255,36247,44344,1,7/1/2024
128,2025,202408,5,6,2,39,,6,4,13064,36555,20152,1,7/1/2024
129,2025,202408,1,7,2,31,,5,2,47886,29453,48338,1,7/1/2024
130,2025,202407,1,4,1,8,,2,5,19501,33873,19452,1,7/1/2024
131,2025,202407,2,8,1,12,,2,4,43648,48721,34163,1,7/1/2024
132,2025,202407,1,6,4,39,,3,5,18225,14012,31625,1,7/1/2024
133,2025,202409,1,3,4,26,,1,5,23655,17006,37803,1,7/1/2024
134,2025,202409,4,7,1,12,,3,3,35934,23887,34580,1,7/1/2024
135,2025,202408,1,7,4,30,,6,2,32377,12134,47065,1,7/1/2024
136,2025,202408,3,6,3,27,,4,5,20201,11960,27342,1,7/1/2024
137,2025,202408,1,6,2,33,,1,1,30471,26216,33836,1,7/1/2024
138,2025,202409,4,2,1,37,,1,5,24278,25607,29158,1,7/1/2024
139,2025,202409,3,1,2,5,,1,1,33292,17406,26736,1,7/1/2024
140,2025,202408,3,1,3,37,,6,5,11067,14497,31026,1,7/1/2024
141,2025,202409,3,4,4,26,,1,1,16430,38619,41343,1,7/1/2024
142,2025,202407,2,1,1,20,,7,4,22374,33137,13627,1,7/1/2024
143,2025,202408,5,4,1,24,,4,2,15115,39270,45571,1,7/1/2024
144,2025,202409,5,3,1,22,,2,3,22969,14906,12009,1,7/1/2024
145,2025,202409,2,4,3,29,,7,5,38299,36246,12084,1,7/1/2024
146,2025,202409,4,2,3,2,,7,1,11773,48652,46232,1,7/1/2024
147,2025,202409,4,3,4,12,,2,3,27045,10902,27143,1,7/1/2024
148,2025,202407,4,1,1,19,,8,3,19175,49859,13367,1,7/1/2024
149,2025,202408,3,1,2,38,,7,3,37038,22144,15223,1,7/1/2024
150,2025,202407,1,8,4,5,,4,3,20297,39861,35710,1,7/1/2024
151,2025,202408,5,2,2,39,,2,1,26849,10338,28123,1,7/1/2024
152,2025,202409,3,2,4,17,,7,4,18831,21825,19366,1,7/1/2024
153,2025,202409,2,8,1,3,,2,2,25711,29485,28907,1,7/1/2024
154,2025,202409,1,1,4,19,,4,3,13551,32912,12365,1,7/1/2024
155,2025,202409,1,8,1,28,,8,2,24454,27060,34294,1,7/1/2024
156,2025,202407,1,2,1,25,,5,5,18925,22377,48172,1,7/1/2024
157,2025,202407,3,4,3,40,,6,2,29847,19408,37919,1,7/1/2024
158,2025,202408,4,1,2,12,,5,5,33466,29514,48818,1,7/1/2024
159,2025,202407,3,2,3,29,,4,4,42336,14472,44286,1,7/1/2024
160,2025,202408,4,7,3,1,,7,5,30673,11321,10293,1,7/1/2024
161,2025,202407,3,1,3,8,,5,5,39731,49706,21678,1,7/1/2024
162,2025,202409,1,4,3,9,,1,3,24436,34747,32687,1,7/1/2024
163,2025,202409,1,5,4,22,,7,1,46633,12602,43950,1,7/1/2024
164,2025,202409,1,2,1,13,,1,3,24472,41020,17657,1,7/1/2024
165,2025,202407,2,6,2,22,,2,3,22771,11457,16966,1,7/1/2024
166,2025,202407,4,2,4,19,,4,5,37125,25870,26057,1,7/1/2024
167,2025,202408,3,1,4,3,,8,4,49667,21372,42269,1,7/1/2024
168,2025,202408,4,8,4,35,,4,3,37342,37426,33542,1,7/1/2024
169,2025,202408,3,7,4,22,,3,4,38797,10807,30669,1,7/1/2024
170,2025,202408,5,8,3,22,,8,3,17146,17125,32265,1,7/1/2024
171,2025,202408,4,4,1,1,,2,2,44458,33562,30608,1,7/1/2024
172,2025,202408,1,1,2,27,,6,5,11338,11687,42550,1,7/1/2024
173,2025,202409,3,5,2,37,,8,2,22704,30107,18303,1,7/1/2024
174,2025,202408,5,8,4,28,,2,3,35003,31970,46732,1,7/1/2024
175,2025,202409,1,5,4,9,,2,4,19172,47710,25317,1,7/1/2024
176,2025,202408,4,6,1,33,,1,5,15639,13958,21850,1,7/1/2024
177,2025,202408,1,8,4,21,,5,2,21063,27498,16830,1,7/1/2024
178,2025,202409,3,7,3,28,,4,4,23533,40220,43754,1,7/1/2024
179,2025,202407,3,6,4,27,,4,1,23659,45203,21178,1,7/1/2024
180,2025,202408,4,2,1,37,,6,5,30354,47652,23515,1,7/1/2024
181,2025,202408,1,6,4,1,,4,5,22881,34477,30180,1,7/1/2024
182,2025,202409,2,2,3,22,,7,3,36997,43536,25959,1,7/1/2024
183,2025,202409,2,3,2,34,,2,2,27593,28246,16735,1,7/1/2024
184,2025,202409,3,2,1,37,,2,5,17523,13818,36365,1,7/1/2024
185,2025,202409,5,7,1,38,,3,1,22812,11156,39471,1,7/1/2024
186,2025,202407,2,4,2,5,,2,1,12638,23805,43098,1,7/1/2024
187,2025,202408,5,3,2,35,,4,5,16123,28002,46134,1,7/1/2024
188,2025,202409,1,7,3,22,,5,3,44841,10718,41486,1,7/1/2024
189,2025,202409,5,6,2,7,,7,1,13093,26661,47275,1,7/1/2024
190,2025,202407,5,3,3,26,,5,5,44306,41182,17561,1,7/1/2024
191,2025,202409,5,1,2,23,,4,3,22657,15283,15929,1,7/1/2024
192,2025,202407,1,3,3,18,,6,2,20825,41863,42458,1,7/1/2024
193,2025,202408,1,2,4,16,,5,4,30646,18738,16300,1,7/1/2024
194,2025,202409,3,5,4,1,,2,2,43949,48724,11462,1,7/1/2024
195,2025,202407,4,2,3,20,,7,3,10408,30282,26137,1,7/1/2024
196,2025,202409,1,6,3,18,,6,3,49327,49893,24249,1,7/1/2024
197,2025,202409,3,1,2,7,,3,5,28514,49922,32193,1,7/1/2024
198,2025,202408,4,5,4,24,,4,1,45380,42412,41752,1,7/1/2024
199,2025,202409,3,1,4,31,,8,3,43957,13655,43114,1,7/1/2024
200,2025,202407,1,3,3,2,,5,2,36109,24283,26814,1,7/1/2024
201,2025,202407,1,1,3,9,,7,4,14855,27468,18965,1,7/1/2024
202,2025,202408,5,2,2,2,,7,5,38044,31737,20008,1,7/1/2024
203,2025,202407,2,1,2,12,,6,2,37279,45647,28961,1,7/1/2024
204,2025,202407,2,5,3,12,,6,1,35159,18073,16262,1,7/1/2024
205,2025,202409,4,4,2,29,,8,1,48710,42190,44633,1,7/1/2024
206,2025,202408,3,7,4,27,,1,4,10631,34137,29154,1,7/1/2024
207,2025,202407,3,6,1,18,,2,5,27517,28992,17551,1,7/1/2024
208,2025,202408,3,8,3,35,,4,4,41724,38744,14124,1,7/1/2024
209,2025,202407,2,1,4,31,,3,2,10276,20535,23245,1,7/1/2024
210,2025,202408,5,5,4,1,,6,4,10813,41135,47768,1,7/1/2024
211,2025,202409,4,5,2,1,,5,2,32691,34805,22104,1,7/1/2024
212,2025,202409,1,7,4,11,,7,3,36886,23953,33832,1,7/1/2024
213,2025,202408,3,4,1,16,,3,5,16560,49222,14738,1,7/1/2024
214,2025,202408,1,8,4,4,,5,5,44742,25775,42143,1,7/1/2024
215,2025,202408,5,6,1,27,,3,4,15925,37260,39775,1,7/1/2024
216,2025,202407,4,2,1,29,,8,5,28753,19857,27040,1,7/1/2024
217,2025,202409,4,1,4,13,,5,1,40630,43759,41072,1,7/1/2024
218,2025,202408,5,4,1,34,,6,5,16972,37958,19691,1,7/1/2024
219,2025,202409,2,3,4,6,,1,4,27503,22815,28731,1,7/1/2024
220,2025,202408,5,5,3,6,,1,2,18535,16224,48844,1,7/1/2024
221,2025,202409,3,6,3,20,,2,1,33929,42609,36086,1,7/1/2024
222,2025,202409,3,8,1,32,,2,3,48305,18131,38004,1,7/1/2024
223,2025,202409,2,7,3,20,,7,4,12790,26574,10843,1,7/1/2024
224,2025,202407,4,3,2,5,,6,1,16488,47433,37631,1,7/1/2024
225,2025,202409,3,8,4,34,,4,2,24532,41413,35626,1,7/1/2024
226,2025,202407,5,3,1,9,,6,2,29544,10704,42402,1,7/1/2024
227,2025,202407,4,1,3,35,,8,1,38945,41966,19561,1,7/1/2024
228,2025,202409,2,6,4,21,,8,4,11843,36744,11813,1,7/1/2024
229,2025,202407,5,8,1,7,,8,2,15765,37380,25317,1,7/1/2024
230,2025,202409,5,6,3,2,,1,1,17103,32479,41255,1,7/1/2024
231,2025,202407,3,4,1,7,,7,4,29117,27180,48636,1,7/1/2024
232,2025,202407,2,8,4,21,,2,4,44764,46209,42514,1,7/1/2024
233,2025,202407,1,8,4,10,,5,1,21207,49403,17304,1,7/1/2024
234,2025,202409,2,1,4,36,,7,3,24735,43405,23172,1,7/1/2024
235,2025,202407,2,4,3,10,,4,2,37473,38677,27654,1,7/1/2024
236,2025,202408,1,2,3,19,,2,4,15310,19582,40187,1,7/1/2024
237,2025,202409,3,7,4,26,,6,5,19072,45557,24112,1,7/1/2024
238,2025,202409,5,2,3,28,,5,4,31978,34851,37049,1,7/1/2024
239,2025,202408,4,6,2,36,,7,5,16932,40550,19470,1,7/1/2024
240,2025,202407,2,7,3,37,,5,2,45239,46033,18295,1,7/1/2024
241,2025,202408,2,4,1,9,,1,5,17379,30130,19973,1,7/1/2024
242,2025,202407,5,8,2,26,,8,2,24238,34293,30171,1,7/1/2024
243,2025,202408,1,8,3,34,,3,2,20986,33107,41118,1,7/1/2024
244,2025,202408,4,2,4,23,,6,5,27787,29781,39070,1,7/1/2024
245,2025,202407,3,5,2,2,,5,4,44254,46854,44733,1,7/1/2024
246,2025,202409,1,4,2,29,,1,5,30128,37880,41572,1,7/1/2024
247,2025,202407,1,7,4,28,,5,4,19476,28743,12777,1,7/1/2024
248,2025,202409,5,5,1,18,,6,1,41342,44185,45781,1,7/1/2024
249,2025,202409,4,6,1,22,,6,3,36615,40162,44512,1,7/1/2024
250,2025,202407,4,5,2,36,,1,3,18019,27124,25082,1,7/1/2024
251,2025,202407,5,1,3,24,,5,2,31600,14326,43007,1,7/1/2024
252,2025,202409,5,1,4,39,,3,1,24276,42378,14715,1,7/1/2024
253,2025,202409,2,3,3,19,,1,1,42483,23957,18521,1,7/1/2024
254,2025,202408,5,8,1,30,,1,3,18700,14963,30572,1,7/1/2024
255,2025,202408,5,8,2,6,,2,1,49354,30173,22531,1,7/1/2024
256,2025,202408,4,7,2,39,,3,3,15628,28181,18205,1,7/1/2024
257,2025,202407,1,7,3,19,,7,3,26092,41137,30742,1,7/1/2024
258,2025,202407,1,1,2,40,,3,1,32190,21490,44851,1,7/1/2024
259,2025,202407,2,7,2,36,,5,3,43458,36389,30059,1,7/1/2024
260,2025,202408,3,7,4,26,,1,1,37143,32405,39417,1,7/1/2024
261,2025,202409,1,2,2,21,,6,4,28223,21500,30533,1,7/1/2024
262,2025,202407,5,2,3,12,,1,4,31625,29602,43747,1,7/1/2024
263,2025,202408,5,6,2,8,,3,3,43928,22262,36842,1,7/1/2024
264,2025,202408,1,6,4,40,,5,1,26178,31393,49376,1,7/1/2024
265,2025,202409,5,4,1,5,,5,5,39254,39387,44437,1,7/1/2024
266,2025,202407,2,8,4,22,,5,4,33184,36488,46932,1,7/1/2024
267,2025,202409,1,8,4,17,,4,4,22517,23697,47378,1,7/1/2024
268,2025,202408,1,3,4,34,,3,4,42779,25392,34080,1,7/1/2024
269,2025,202408,1,5,2,11,,5,5,35656,17418,43495,1,7/1/2024
270,2025,202409,3,8,4,29,,8,3,10405,20837,22272,1,7/1/2024
271,2025,202409,3,7,3,30,,1,3,11223,45238,46658,1,7/1/2024
272,2025,202407,5,7,4,24,,6,2,49256,12599,29568,1,7/1/2024
273,2025,202409,3,2,4,9,,3,3,31038,21550,30663,1,7/1/2024
274,2025,202408,1,3,4,22,,5,3,36438,23331,40913,1,7/1/2024
275,2025,202409,2,8,1,11,,7,4,23049,41163,34291,1,7/1/2024
276,2025,202407,5,7,3,32,,8,5,25444,26571,11743,1,7/1/2024
277,2025,202407,3,6,4,9,,2,4,15744,35121,17336,1,7/1/2024
278,2025,202408,3,8,1,11,,7,2,10920,47620,25661,1,7/1/2024
279,2025,202407,2,4,4,20,,6,5,49037,26315,34670,1,7/1/2024
280,2025,202408,5,8,2,24,,4,4,22803,24502,21932,1,7/1/2024
281,2025,202407,2,2,1,8,,5,1,29573,33598,20913,1,7/1/2024
282,2025,202407,2,2,1,20,,7,5,21805,16329,46114,1,7/1/2024
283,2025,202408,1,4,2,3,,3,1,26120,21664,40362,1,7/1/2024
284,2025,202409,5,7,4,28,,8,2,20978,21910,40568,1,7/1/2024
285,2025,202409,1,4,3,33,,3,2,40305,38368,43603,1,7/1/2024
286,2025,202408,1,6,2,22,,4,2,27639,17706,25237,1,7/1/2024
287,2025,202409,5,7,3,1,,5,2,37622,15872,26370,1,7/1/2024
288,2025,202407,4,7,4,31,,7,2,38929,12953,47532,1,7/1/2024
289,2025,202409,5,6,3,10,,2,5,43584,25790,39360,1,7/1/2024
290,2025,202408,4,4,3,24,,1,1,21882,12595,43672,1,7/1/2024
291,2025,202407,3,7,3,30,,4,1,22554,46111,22309,1,7/1/2024
292,2025,202408,4,8,2,18,,1,5,26152,41521,24388,1,7/1/2024
293,2025,202409,4,3,2,38,,4,5,30831,42322,40489,1,7/1/2024
294,2025,202407,5,5,3,11,,1,4,15538,13301,16700,1,7/1/2024
295,2025,202409,5,2,2,10,,4,3,15443,46987,34129,1,7/1/2024
296,2025,202407,1,1,2,27,,3,3,29816,18328,46083,1,7/1/2024
297,2025,202407,4,7,1,40,,7,4,31290,35394,49189,1,7/1/2024
298,2025,202409,5,6,2,1,,7,4,31066,24576,14208,1,7/1/2024
299,2025,202408,2,1,4,8,,5,3,42302,40440,40404,1,7/1/2024
300,2025,202409,1,3,3,24,,4,4,36458,15010,40749,1,7/1/2024
301,2025,202407,1,7,3,13,,3,3,25261,24914,49478,1,7/1/2024
302,2025,202409,2,4,4,34,,6,2,45495,31488,16112,1,7/1/2024
303,2025,202408,2,7,3,31,,5,3,22322,11902,38348,1,7/1/2024
304,2025,202408,5,6,2,14,,1,5,49036,24426,15953,1,7/1/2024
305,2025,202407,5,3,3,32,,7,5,32954,42815,36648,1,7/1/2024
306,2025,202407,3,7,3,19,,5,5,20858,48750,40046,1,7/1/2024
307,2025,202409,5,5,1,12,,6,5,31464,14170,45604,1,7/1/2024
308,2025,202408,5,8,4,5,,7,1,13534,32485,46903,1,7/1/2024
309,2025,202409,1,2,4,2,,8,5,16912,17628,32694,1,7/1/2024
310,2025,202409,2,5,3,2,,5,5,10712,43788,22638,1,7/1/2024
311,2025,202407,3,4,4,27,,1,5,22128,18175,38056,1,7/1/2024
312,2025,202407,5,2,2,29,,7,1,24190,39483,18859,1,7/1/2024
313,2025,202408,3,5,2,2,,6,2,44677,14130,11333,1,7/1/2024
314,2025,202407,2,1,4,23,,6,1,31534,12767,30021,1,7/1/2024
315,2025,202409,4,3,2,23,,6,1,48309,33591,49959,1,7/1/2024
316,2025,202407,2,3,4,19,,4,4,33002,18706,31499,1,7/1/2024
317,2025,202409,4,2,1,38,,7,5,30520,32069,31122,1,7/1/2024
318,2025,202407,2,5,4,33,,6,5,30156,26312,49343,1,7/1/2024
319,2025,202408,5,8,2,36,,4,5,22723,32880,47465,1,7/1/2024
320,2025,202408,5,3,2,23,,4,3,23176,16929,35284,1,7/1/2024
321,2025,202408,2,5,2,33,,4,5,35987,41235,48589,1,7/1/2024
322,2025,202407,3,4,3,39,,8,5,24052,23600,36121,1,7/1/2024
323,2025,202407,3,6,2,17,,5,2,40497,14338,18705,1,7/1/2024
324,2025,202409,2,4,4,23,,2,5,26575,25064,30937,1,7/1/2024
325,2025,202407,5,7,3,38,,2,1,21735,16580,23844,1,7/1/2024
326,2025,202408,1,3,4,22,,1,3,45484,44917,46765,1,7/1/2024
327,2025,202409,1,5,3,4,,1,1,24849,48499,43585,1,7/1/2024
328,2025,202407,5,2,3,11,,8,1,45309,12944,17558,1,7/1/2024
329,2025,202408,4,4,4,9,,7,4,38174,17670,16016,1,7/1/2024
330,2025,202409,5,6,1,10,,3,4,18696,43622,30942,1,7/1/2024
331,2025,202407,2,3,3,22,,6,4,17876,27211,46477,1,7/1/2024
332,2025,202409,3,2,4,39,,8,2,13638,27035,20931,1,7/1/2024
333,2025,202408,3,3,1,15,,7,1,21426,47701,39624,1,7/1/2024
334,2025,202407,5,8,4,15,,3,2,36789,19264,46983,1,7/1/2024
335,2025,202408,3,1,1,2,,6,1,27458,25595,49573,1,7/1/2024
336,2025,202409,2,8,3,8,,4,1,44828,40146,35474,1,7/1/2024
337,2025,202409,2,3,3,23,,5,4,49940,47415,28140,1,7/1/2024
338,2025,202407,2,3,1,12,,1,5,41046,11661,14853,1,7/1/2024
339,2025,202409,2,3,1,10,,5,2,33588,48484,39981,1,7/1/2024
340,2025,202407,1,8,3,25,,6,5,45799,43419,15024,1,7/1/2024
341,2025,202409,4,2,2,9,,6,4,16842,22063,40353,1,7/1/2024
342,2025,202408,2,5,2,33,,2,2,39383,28703,45967,1,7/1/2024
343,2025,202408,1,5,3,32,,2,4,40326,45616,34911,1,7/1/2024
344,2025,202407,3,2,1,34,,4,5,28599,29150,31177,1,7/1/2024
345,2025,202409,2,5,3,21,,6,3,34981,47745,27696,1,7/1/2024
346,2025,202407,5,5,4,4,,6,3,30063,14576,37579,1,7/1/2024
347,2025,202407,4,4,1,21,,7,4,16277,26719,46178,1,7/1/2024
348,2025,202408,1,6,2,39,,7,2,16072,11124,23468,1,7/1/2024
349,2025,202407,5,7,2,4,,7,4,39502,44144,48338,1,7/1/2024
350,2025,202407,3,6,1,29,,4,5,16218,13030,45957,1,7/1/2024
351,2025,202407,3,5,4,2,,4,3,38794,36639,22104,1,7/1/2024
352,2025,202408,2,1,1,24,,5,2,38544,16625,10708,1,7/1/2024
353,2025,202408,4,7,2,23,,4,3,17067,19209,19264,1,7/1/2024
